# _tick,_time,train_seconds,success_rate,step,mean_episode_return,mean_episode_step,total_loss,entropy_loss,pg_loss,baseline_loss,learner_queue_size
0,1698139349.3605947,25.0,0.04157043879907621,2560,-0.976771354675293,7.533984184265137,-395.9802551269531,-4.11905574798584,-398.48046875,6.6192779541015625,32
1,1698139355.9997008,30.0,0.06967213114754098,5120,-0.9055737853050232,6.458984375,2341.67236328125,-4.109430313110352,2143.2646484375,202.51702880859375,32
2,1698139361.9823942,35.1,0.0482897384305835,7680,-0.9480342864990234,6.625390529632568,-2052.213623046875,-3.8620734214782715,-2498.959228515625,450.6077575683594,32
3,1698139368.0192976,45.1,0.05835010060362173,10240,-0.9323500990867615,7.644921779632568,2053.1689453125,-4.011898517608643,1867.789306640625,189.39154052734375,32
4,1698139374.1110713,50.1,0.05870020964360587,12800,-0.933574378490448,6.889452934265137,1347.50830078125,-4.098963737487793,1277.2906494140625,74.31663513183594,32
5,1698139380.1264498,55.1,0.058823529411764705,15360,-0.9334622025489807,8.337890625,-2014.870849609375,-4.106200695037842,-2262.521728515625,251.75701904296875,32
6,1698139386.1735694,60.1,0.060041407867494824,17920,-0.9276293516159058,7.702734470367432,328.2550964355469,-4.113063812255859,327.49676513671875,4.871387481689453,32
7,1698139392.554732,70.1,0.04897959183673469,20480,-0.9505531191825867,7.003125190734863,-482.6688232421875,-4.113131046295166,-489.91656494140625,11.360861778259277,32
8,1698139398.8580558,75.1,0.036637931034482756,23040,-0.978995680809021,10.05859375,161.41842651367188,-4.099092483520508,164.09585571289062,1.421668291091919,32
9,1698139405.8634348,80.1,0.05436893203883495,25600,-0.945701003074646,8.179296493530273,-1443.2467041015625,-4.0783820152282715,-1558.0703125,118.90203094482422,32
10,1698139412.3437707,85.1,0.040968342644320296,28160,-0.9712756276130676,10.590624809265137,82.25790405273438,-4.097759246826172,85.94752502441406,0.40814051032066345,32
11,1698139418.8173778,95.1,0.05649717514124294,30720,-0.9265725016593933,7.037890434265137,112.38579559326172,-4.111434459686279,115.77635955810547,0.7208735942840576,32
12,1698139425.1401489,100.1,0.049689440993788817,33280,-0.9533603191375732,9.500781059265137,-954.2531127929688,-4.095156669616699,-996.1698608398438,46.011878967285156,32
13,1698139431.4626663,105.1,0.059734513274336286,35840,-0.9367190599441528,9.256640434265137,-158.0496063232422,-4.110336780548096,-155.07574462890625,1.1364773511886597,32
14,1698139437.7352061,115.2,0.055201698513800426,38400,-0.9491379261016846,10.529296875,713.2947387695312,-4.081718444824219,694.19384765625,23.18260383605957,32
15,1698139444.0484645,120.2,0.06278026905829596,40960,-0.9340606331825256,10.091796875,-141.92279052734375,-4.116320610046387,-138.75755310058594,0.9510836601257324,32
16,1698139450.8183131,125.2,0.04878048780487805,43520,-0.9567427635192871,7.724609375,377.8902282714844,-4.111354827880859,375.4861755371094,6.515415191650391,32
17,1698139457.1591728,130.2,0.05791505791505792,46080,-0.9298108816146851,8.415624618530273,-160.88873291015625,-4.117600440979004,-157.97958374023438,1.2084484100341797,32
18,1698139463.564905,140.2,0.055445544554455446,48640,-0.9524554014205933,9.497265815734863,148.84259033203125,-4.119062900543213,151.8243408203125,1.1373069286346436,32
19,1698139469.720201,145.2,0.054104477611940295,51200,-0.9387276768684387,6.788671970367432,-1545.58984375,-4.0865583419799805,-1671.1749267578125,129.67164611816406,32
20,1698139476.0450387,150.2,0.042826552462526764,53760,-0.965599536895752,9.024609565734863,141.8184051513672,-4.116652011871338,144.8716583251953,1.0633940696716309,32
21,1698139482.1005442,155.2,0.0640176600441501,56320,-0.9349338412284851,9.045702934265137,-74.58368682861328,-4.1059160232543945,-70.78819274902344,0.31042733788490295,32
22,1698139488.1922789,165.2,0.07221006564551423,58880,-0.9099782109260559,7.594140529632568,1062.89501953125,-4.101034164428711,1018.1614379882812,48.83469772338867,32
23,1698139494.2500281,170.2,0.04708520179372197,61440,-0.962957501411438,8.654296875,5.09789514541626,-4.117935657501221,9.146888732910156,0.06894223392009735,32
24,1698139500.4578698,175.2,0.04,64000,-0.9664285182952881,7.381640434265137,-127.43055725097656,-4.117676734924316,-124.03546142578125,0.7225774526596069,32
25,1698139506.9526737,180.2,0.04246284501061571,66560,-0.9616114497184753,8.333984375,296.9339904785156,-4.116875648498535,296.9284973144531,4.122381210327148,32
26,1698139513.117948,190.2,0.04854368932038835,69120,-0.9658194780349731,9.950780868530273,-127.98208618164062,-4.119809150695801,-124.56748962402344,0.705211877822876,32
27,1698139519.1901834,195.2,0.05371900826446281,71680,-0.9495910406112671,12.314062118530273,67.66844177246094,-4.118519306182861,71.43687438964844,0.3500935137271881,32
28,1698139525.278587,200.2,0.05106382978723404,74240,-0.9574404358863831,10.030077934265137,174.29283142089844,-4.119389057159424,176.841064453125,1.5711442232131958,32
