# _tick,_time,train_seconds,success_rate,step,mean_episode_return,mean_episode_step,total_loss,entropy_loss,pg_loss,baseline_loss,learner_queue_size
0,1698139036.0135455,25.0,0.05470459518599562,2560,-0.933260440826416,6.842968940734863,-227.79183959960938,-4.116698265075684,-225.90115356445312,2.226008176803589,32
1,1698139042.3235822,30.0,0.058426966292134834,5120,-0.939170777797699,8.895703315734863,632.7543334960938,-4.1188740730285645,619.8473510742188,17.02589225769043,32
2,1698139048.1524415,35.1,0.06944444444444445,7680,-0.9025754928588867,6.40234375,-875.0034790039062,-3.300774097442627,-1045.76953125,174.06683349609375,32
3,1698139054.0816169,40.1,0.04251012145748988,10240,-0.9622044563293457,7.338671684265137,1890.1585693359375,-2.0493249893188477,1506.1202392578125,386.0876770019531,32
4,1698139061.0648065,50.1,0.05555555555555555,12800,-0.9422200918197632,7.697656154632568,4332.74169921875,-4.093204021453857,3667.07568359375,669.759521484375,32
5,1698139068.0169857,55.1,0.05938242280285035,15360,-0.9542208909988403,11.616015434265137,703.0880737304688,-4.067539691925049,680.3053588867188,26.850271224975586,32
6,1698139074.34923,65.1,0.05263157894736842,17920,-0.9560748338699341,11.815234184265137,-373.5869140625,-4.106636047363281,-379.3056945800781,9.825397491455078,32
7,1698139080.7003798,70.1,0.04954954954954955,20480,-0.9594797492027283,8.677343368530273,796.3369750976562,-4.058152675628662,766.4661254882812,33.929046630859375,32
8,1698139086.6084034,75.1,0.03969754253308128,23040,-0.9749168753623962,7.610156059265137,-2531.703369140625,-3.983182907104492,-3130.896728515625,603.1763916015625,32
9,1698139092.5518625,80.1,0.05,25600,-0.9518320560455322,7.622265815734863,-28.313112258911133,-4.111720561981201,-24.29336166381836,0.09196963906288147,32
10,1698139098.4718835,85.1,0.05200945626477541,28160,-0.9489502906799316,14.129297256469727,1139.333251953125,-4.105112552642822,1073.2197265625,70.21858978271484,32
11,1698139104.409945,95.1,0.06756756756756757,30720,-0.9243716597557068,18.338672637939453,-905.9961547851562,-4.083820819854736,-951.2685546875,49.356197357177734,32
12,1698139110.3274295,100.1,0.04751131221719457,33280,-0.9590610861778259,11.976171493530273,719.0205078125,-4.11329984664917,698.26416015625,24.869657516479492,32
13,1698139116.5068762,105.1,0.060784313725490195,35840,-0.9260255694389343,8.11328125,66.4686508178711,-4.10855770111084,70.22947692871094,0.3477330803871155,32
14,1698139123.509175,110.2,0.05168986083499006,38400,-0.9499144554138184,7.582421779632568,-871.7384033203125,-4.075867176055908,-905.4278564453125,37.76533126831055,32
15,1698139130.480599,120.2,0.059369202226345084,40960,-0.9305769801139832,8.061327934265137,116.66476440429688,-4.109210968017578,119.99017333984375,0.7837993502616882,32
16,1698139136.6445482,125.2,0.05510204081632653,43520,-0.9459959268569946,7.817578315734863,-308.1643981933594,-4.096169948577881,-308.51446533203125,4.4462361335754395,32
17,1698139142.5476086,130.2,0.05660377358490566,46080,-0.9349453449249268,8.502344131469727,-63.3497428894043,-4.097914218902588,-59.506103515625,0.2542780339717865,32
18,1698139148.6626232,135.2,0.054901960784313725,48640,-0.9440608024597168,8.867968559265137,1394.7890625,-4.071352481842041,1315.0423583984375,83.81816864013672,32
19,1698139155.2310185,145.2,0.0449438202247191,51200,-0.959159255027771,6.890625,-221.33306884765625,-4.086410045623779,-219.3583526611328,2.111691474914551,32
20,1698139161.9789588,150.2,0.04435483870967742,53760,-0.9641895294189453,13.092968940734863,518.2761840820312,-4.100881099700928,510.3957214355469,11.981344223022461,32
21,1698139168.4881864,155.2,0.06444906444906445,56320,-0.9291059970855713,9.398046493530273,-166.5559539794922,-4.109133243560791,-163.70169067382812,1.25486159324646,32
22,1698139174.8055065,165.2,0.0482897384305835,58880,-0.9540644884109497,7.706640720367432,352.7734375,-4.101278305053711,351.1290283203125,5.7456955909729,32
23,1698139180.8523855,170.2,0.0472972972972973,61440,-0.9674819111824036,8.682031631469727,-189.88536071777344,-4.1016716957092285,-187.36585998535156,1.582173228263855,32
